Complited in 2.787574
a[1][0] = 0.5, 
a[1][1] = 0.25, 
a[1][2] = 1.33333, 
a[1][3] = 0.8, 
a[1][4] = 0.666667, 
a[1][5] = 0.571429, 
a[1][6] = 0.5, 
a[1][7] = 0.444444, 
a[1][8] = 0.4, 
a[1][9] = 0.363636, 
a[1][10] = 0.333333, 
a[1][11] = 0.307692, 
a[1][12] = 0.285714, 
a[1][13] = 0.266667, 
a[1][14] = 0.25, 
a[1][15] = 0.235294, 
a[1][16] = 0.222222, 
a[1][17] = 0.210526, 
a[1][18] = 0.2, 
a[1][19] = 0.190476, 
a[1][20] = 0.181818, 
a[1][21] = 0.173913, 
a[1][22] = 0.166667, 
a[1][23] = 0.16, 
a[1][24] = 0.153846, 
a[1][25] = 0.148148, 
a[1][26] = 0.142857, 
a[1][27] = 0.137931, 
a[1][28] = 0.133333, 
a[1][29] = 0.129032, 
a[1][30] = 0.125, 
a[1][31] = 0.121212, 
a[1][32] = 0.117647, 
a[1][33] = 0.114286, 
a[1][34] = 0.111111, 
a[1][35] = 0.108108, 
a[1][36] = 0.105263, 
a[1][37] = 0.102564, 
a[1][38] = 0.1, 
a[1][39] = 0.097561, 
a[1][40] = 0.0952381, 
a[1][41] = 0.0930233, 
a[1][42] = 0.0909091, 
a[1][43] = 0.0888889, 
a[1][44] = 0.0869565, 
a[1][45] = 0.0851064, 
a[1][46] = 0.0833333, 
a[1][47] = 0.0816327, 
a[1][48] = 0.08, 
a[1][49] = 0.0784314, 

a[5][0] = 0.166667, 
a[5][1] = 0.0694444, 
a[5][2] = 0.0252255, 
a[5][3] = 0.00698635, 
a[5][4] = 0.00186358, 
a[5][5] = 0.0181818, 
a[5][6] = 4.58333, 
a[5][7] = 4.23077, 
a[5][8] = 3.92857, 
a[5][9] = 3.66667, 
a[5][10] = 3.4375, 
a[5][11] = 3.23529, 
a[5][12] = 3.05556, 
a[5][13] = 2.89474, 
a[5][14] = 2.75, 
a[5][15] = 2.61905, 
a[5][16] = 2.5, 
a[5][17] = 2.3913, 
a[5][18] = 2.29167, 
a[5][19] = 2.2, 
a[5][20] = 2.11538, 
a[5][21] = 2.03704, 
a[5][22] = 1.96429, 
a[5][23] = 1.89655, 
a[5][24] = 1.83333, 
a[5][25] = 1.77419, 
a[5][26] = 1.71875, 
a[5][27] = 1.66667, 
a[5][28] = 1.61765, 
a[5][29] = 1.57143, 
a[5][30] = 1.52778, 
a[5][31] = 1.48649, 
a[5][32] = 1.44737, 
