Complited in 0.000702
a[4][9] = 3.07143, 
a[4][10] = 2.86667, 
a[4][11] = 2.6875, 
a[4][12] = 2.52941, 
a[4][13] = 2.38889, 
a[4][14] = 2.26316, 
a[4][15] = 2.15, 
a[4][16] = 2.04762, 
a[4][17] = 1.95455, 
a[4][18] = 1.86957, 
a[4][19] = 1.79167, 
a[4][20] = 1.72, 
a[4][21] = 1.65385, 
a[4][22] = 1.59259, 
a[4][23] = 1.53571, 
a[4][24] = 1.48276, 
a[4][25] = 1.43333, 
a[4][26] = 1.3871, 
a[4][27] = 1.34375, 
a[4][28] = 1.30303, 
a[4][29] = 1.26471, 
a[4][30] = 1.22857, 
a[4][31] = 1.19444, 
a[4][32] = 1.16216, 
a[4][33] = 1.13158, 
a[4][34] = 1.10256, 
a[4][35] = 1.075, 
a[4][36] = 1.04878, 
a[4][37] = 1.02381, 
a[4][38] = 4.77778, 
a[4][39] = 0.977273, 
a[4][40] = 0.955556, 
a[4][41] = 0.934783, 
a[4][42] = 0.914894, 
a[4][43] = 0.895833, 
a[4][44] = 0.877551, 
a[4][45] = 0.86, 
a[4][46] = 0.843137, 
a[4][47] = 0.826923, 
a[4][48] = 0.811321, 
a[4][49] = 0.796296, 
a[4][50] = 0.781818, 
a[4][51] = 0.767857, 
a[4][52] = 0.754386, 
a[4][53] = 0.741379, 
a[4][54] = 0.728814, 
a[4][55] = 0.716667, 
a[4][56] = 0.704918, 
a[4][57] = 0.693548, 
a[4][58] = 0.68254, 
a[4][59] = 0.671875, 
a[4][60] = 0.661538, 
a[4][61] = 0.651515, 
a[4][62] = 0.641791, 
a[4][63] = 0.632353, 
a[4][64] = 0.623188, 
a[4][65] = 0.614286, 
a[4][66] = 0.605634, 
a[4][67] = 0.597222, 
a[4][68] = 0.589041, 
a[4][69] = 0.581081, 
a[4][70] = 0.573333, 
a[4][71] = 0.565789, 
a[4][72] = 0.558442, 
a[4][73] = 0.551282, 
a[4][74] = 0.544304, 
a[4][75] = 0.5375, 
a[4][76] = 0.530864, 
a[4][77] = 0.52439, 
a[4][78] = 0.518072, 
a[4][79] = 0.511905, 
a[4][80] = 0.505882, 
a[4][81] = 0.5, 
a[4][82] = 0.494253, 
a[4][83] = 0.488636, 
a[4][84] = 0.483146, 
a[4][85] = 0.477778, 
a[4][86] = 0.472527, 
a[4][87] = 0.467391, 
a[4][88] = 0.462366, 
a[4][89] = 0.457447, 
a[4][90] = 0.452632, 
a[4][91] = 0.447917, 
a[4][92] = 0.443299, 
a[4][93] = 0.438776, 
a[4][94] = 0.434343, 
a[4][95] = 0.43, 
a[4][96] = 0.425743, 
a[4][97] = 0.421569, 
a[4][98] = 0.417476, 
a[4][99] = 0.413462, 

a[6][0] = 0.142857, 
a[6][1] = 0.0634921, 
a[6][2] = 0.0253527, 
a[6][3] = 0.00768704, 
a[6][4] = 0.0021829, 
a[6][5] = 0.000552835, 
a[6][6] = 0.00943396, 
a[6][7] = 7.57143, 
a[6][8] = 7.06667, 
a[6][9] = 6.625, 
a[6][10] = 6.23529, 
a[6][11] = 5.88889, 
a[6][12] = 5.57895, 
a[6][13] = 5.3, 
a[6][14] = 5.04762, 
a[6][15] = 4.81818, 
a[6][16] = 4.6087, 
a[6][17] = 4.41667, 
a[6][18] = 4.24, 
a[6][19] = 4.07692, 
a[6][20] = 3.92593, 
a[6][21] = 3.78571, 
a[6][22] = 3.65517, 
a[6][23] = 3.53333, 
a[6][24] = 3.41935, 
a[6][25] = 3.3125, 
a[6][26] = 3.21212, 
a[6][27] = 3.11765, 
a[6][28] = 3.02857, 
a[6][29] = 2.94444, 
a[6][30] = 2.86486, 
a[6][31] = 2.78947, 
a[6][32] = 2.71795, 
a[6][33] = 2.65, 
a[6][34] = 2.58537, 
a[6][35] = 2.52381, 
a[6][36] = 2.46512, 
a[6][37] = 2.40909, 
a[6][38] = 2.35556, 
a[6][39] = 2.30435, 
a[6][40] = 2.25532, 
a[6][41] = 2.20833, 
a[6][42] = 2.16327, 
a[6][43] = 2.12, 
a[6][44] = 2.07843, 
a[6][45] = 2.03846, 
a[6][46] = 2, 
a[6][47] = 1.96296, 
a[6][48] = 1.92727, 
a[6][49] = 1.89286, 
a[6][50] = 1.85965, 
a[6][51] = 1.82759, 
a[6][52] = 1.79661, 
a[6][53] = 1.76667, 
a[6][54] = 1.7377, 
a[6][55] = 1.70968, 
a[6][56] = 1.68254, 
a[6][57] = 1.65625, 
a[6][58] = 1.63077, 
a[6][59] = 1.60606, 
a[6][60] = 1.58209, 
a[6][61] = 1.55882, 
a[6][62] = 1.53623, 
a[6][63] = 1.51429, 
a[6][64] = 1.49296, 
a[6][65] = 1.47222, 
a[6][66] = 1.45205, 
a[6][67] = 1.43243, 
a[6][68] = 1.41333, 
a[6][69] = 1.39474, 
a[6][70] = 1.37662, 
a[6][71] = 1.35897, 
a[6][72] = 1.34177, 
a[6][73] = 1.325, 
a[6][74] = 1.30864, 
a[6][75] = 1.29268, 
a[6][76] = 1.27711, 
a[6][77] = 1.2619, 
a[6][78] = 1.24706, 
a[6][79] = 1.23256, 
a[6][80] = 1.21839, 
a[6][81] = 1.20455, 
a[6][82] = 1.19101, 
a[6][83] = 1.17778, 
a[6][84] = 1.16484, 
a[6][85] = 1.15217, 
a[6][86] = 1.13978, 
a[6][87] = 1.12766, 
a[6][88] = 1.11579, 
a[6][89] = 1.10417, 
a[6][90] = 1.09278, 
