Complited in 0.000702
a[14][41] = 1.89286, 
a[14][42] = 1.85965, 
a[14][43] = 1.82759, 
a[14][44] = 1.79661, 
a[14][45] = 1.76667, 
a[14][46] = 1.7377, 
a[14][47] = 1.70968, 
a[14][48] = 1.68254, 
a[14][49] = 1.65625, 
a[14][50] = 1.63077, 
a[14][51] = 1.60606, 
a[14][52] = 1.58209, 
a[14][53] = 1.55882, 
a[14][54] = 1.53623, 
a[14][55] = 1.51429, 
a[14][56] = 1.49296, 
a[14][57] = 1.47222, 
a[14][58] = 1.45205, 
a[14][59] = 1.43243, 
a[14][60] = 1.41333, 
a[14][61] = 1.39474, 
a[14][62] = 1.37662, 
a[14][63] = 1.35897, 
a[14][64] = 1.34177, 
a[14][65] = 1.325, 
a[14][66] = 1.30864, 
a[14][67] = 1.29268, 
a[14][68] = 1.27711, 
a[14][69] = 1.2619, 
a[14][70] = 1.24706, 
a[14][71] = 1.23256, 
a[14][72] = 1.21839, 
a[14][73] = 1.20455, 
a[14][74] = 1.19101, 
a[14][75] = 1.17778, 
a[14][76] = 1.16484, 
a[14][77] = 1.15217, 
a[14][78] = 1.13978, 
a[14][79] = 1.12766, 
a[14][80] = 1.11579, 
a[14][81] = 1.10417, 
a[14][82] = 1.09278, 
a[14][83] = 1.08163, 
a[14][84] = 1.07071, 
a[14][85] = 1.06, 
a[14][86] = 1.0495, 
a[14][87] = 1.03922, 
a[14][88] = 1.02913, 
a[14][89] = 1.01923, 
a[14][90] = 1.00952, 
a[14][91] = 3.65517, 
a[14][92] = 0.990654, 
a[14][93] = 0.981481, 
a[14][94] = 0.972477, 
a[14][95] = 0.963636, 
a[14][96] = 0.954955, 
a[14][97] = 0.946429, 
a[14][98] = 0.938053, 
a[14][99] = 0.929825, 

a[16][0] = 0.0588235, 
a[16][1] = 0.0330237, 
a[16][2] = 0.0196365, 
a[16][3] = 0.00937317, 
a[16][4] = 0.00389517, 
a[16][5] = 0.00129423, 
a[16][6] = 0.000205538, 
a[16][7] = -9.75907e-06, 
a[16][8] = -1.00331e-05, 
a[16][9] = -1.03185e-05, 
a[16][10] = -1.06158e-05, 
a[16][11] = -1.09256e-05, 
a[16][12] = -1.12486e-05, 
a[16][13] = -1.15855e-05, 
a[16][14] = -1.1937e-05, 
a[16][15] = -1.23041e-05, 
a[16][16] = 0.00943396, 
a[16][17] = 3.11765, 
