Complited in 0.000710
a[0][0] = 1, 
a[0][1] = 0.5, 
a[0][2] = 0.333333, 
a[0][3] = 0.25, 
a[0][4] = 0.2, 
a[0][5] = 0.166667, 
a[0][6] = 0.142857, 
a[0][7] = 0.125, 
a[0][8] = 0.111111, 
a[0][9] = 0.1, 

a[2][0] = 0.333333, 
a[2][1] = 0.0888889, 
a[2][2] = 0.1, 
a[2][3] = 1.66667, 
a[2][4] = 1.42857, 
a[2][5] = 1.25, 
a[2][6] = 1.11111, 
a[2][7] = 2, 
a[2][8] = 0.909091, 
a[2][9] = 0.833333, 

a[4][0] = 0.2, 
a[4][1] = 0.0761905, 
a[4][2] = 0.0244709, 
a[4][3] = 0.00333053, 
a[4][4] = 0.0769231, 
a[4][5] = 1.3, 
a[4][6] = 1.18182, 
a[4][7] = 1.08333, 
a[4][8] = 1.44444, 
a[4][9] = 0.928571, 

a[6][0] = 0.142857, 
a[6][1] = 0.0634921, 
a[6][2] = 0.0253527, 
a[6][3] = 0.00399898, 
a[6][4] = -0.00198335, 
a[6][5] = -0.00625555, 
a[6][6] = 0.0769231, 
a[6][7] = 0.928571, 
a[6][8] = 0.866667, 
a[6][9] = 0.8125, 

a[8][0] = 0.111111, 
a[8][1] = 0.0538721, 
a[8][2] = 0.024668, 
a[8][3] = 0.00429796, 
a[8][4] = -0.00215253, 
a[8][5] = -0.00659469, 
a[8][6] = -0.00492462, 
a[8][7] = -0.0104082, 
a[8][8] = 0.0555556, 
a[8][9] = 1.05882, 

a[1][0] = 0.5, 
a[1][1] = 0.25, 
a[1][2] = 1.33333, 
a[1][3] = 0.8, 
a[1][4] = 0.666667, 
a[1][5] = 0.571429, 
a[1][6] = 0.5, 
a[1][7] = 0.444444, 
a[1][8] = 0.4, 
a[1][9] = 0.363636, 

a[3][0] = 0.25, 
a[3][1] = 0.0833333, 
a[3][2] = 0.0226221, 
a[3][3] = 0.0769231, 
a[3][4] = 1.625, 
a[3][5] = 1.44444, 
a[3][6] = 1.3, 
a[3][7] = 1.18182, 
a[3][8] = 1.08333, 
a[3][9] = 1.85714, 

a[5][0] = 0.166667, 
a[5][1] = 0.0694444, 
a[5][2] = 0.0252255, 
a[5][3] = 0.00372619, 
a[5][4] = -0.00183674, 
a[5][5] = 0.0833333, 
a[5][6] = 1.09091, 
a[5][7] = 0.923077, 
a[5][8] = 0.857143, 
a[5][9] = 0.8, 

a[7][0] = 0.125, 
a[7][1] = 0.0583333, 
a[7][2] = 0.0251157, 
a[7][3] = 0.00418162, 
a[7][4] = -0.00208481, 
a[7][5] = -0.00647387, 
a[7][6] = -0.00490574, 
a[7][7] = 0.0625, 
a[7][8] = 1.06667, 
a[7][9] = 0.941176, 

a[9][0] = 0.1, 
a[9][1] = 0.05, 
a[9][2] = 0.0241013, 
a[9][3] = 0.00436534, 
a[9][4] = -0.00219495, 
a[9][5] = -0.00664585, 
a[9][6] = -0.0049001, 
a[9][7] = -0.0103152, 
a[9][8] = -0.0153082, 
a[9][9] = -0.0388451, 

