Complited in 2.582368
a[16][10] = 0.00136688, 
a[16][11] = 0.00114307, 
a[16][12] = 0.000965917, 
a[16][13] = 0.000823639, 
a[16][14] = 0.000707928, 
a[16][15] = 0.000612786, 
a[16][16] = 0.030303, 
a[16][17] = 0.970588, 
a[16][18] = 0.942857, 
a[16][19] = 0.916667, 
a[16][20] = 0.891892, 
a[16][21] = 0.868421, 
a[16][22] = 0.846154, 
a[16][23] = 0.825, 
a[16][24] = 0.804878, 
a[16][25] = 0.785714, 
a[16][26] = 0.767442, 
a[16][27] = 0.75, 
a[16][28] = 0.733333, 
a[16][29] = 0.717391, 
a[16][30] = 0.702128, 
a[16][31] = 0.6875, 
a[16][32] = 0.673469, 
a[16][33] = 0.66, 
a[16][34] = 0.647059, 
a[16][35] = 0.634615, 
a[16][36] = 0.622642, 
a[16][37] = 0.611111, 
a[16][38] = 0.6, 
a[16][39] = 0.589286, 
a[16][40] = 0.578947, 
a[16][41] = 0.568966, 
a[16][42] = 0.559322, 
a[16][43] = 0.55, 
a[16][44] = 0.540984, 
a[16][45] = 0.532258, 
a[16][46] = 0.52381, 
a[16][47] = 0.515625, 
a[16][48] = 0.507692, 
a[16][49] = 0.5, 

a[20][0] = 0.047619, 
a[20][1] = 0.021645, 
a[20][2] = 0.0113715, 
a[20][3] = 0.00729866, 
a[20][4] = 0.00514487, 
a[20][5] = 0.0038343, 
a[20][6] = 0.00296667, 
a[20][7] = 0.00235873, 
a[20][8] = 0.00191492, 
a[20][9] = 0.00158065, 
a[20][10] = 0.00132262, 
a[20][11] = 0.0011194, 
a[20][12] = 0.000956686, 
a[20][13] = 0.000824546, 
a[20][14] = 0.000715934, 
a[20][15] = 0.000625717, 
a[20][16] = 0.000550083, 
a[20][17] = 0.000486149, 
a[20][18] = 0.000431708, 
a[20][19] = 0.00038504, 
a[20][20] = 0.0243902, 
a[20][21] = 0.97619, 
a[20][22] = 0.953488, 
a[20][23] = 0.931818, 
a[20][24] = 0.911111, 
a[20][25] = 0.891304, 
a[20][26] = 0.87234, 
a[20][27] = 0.854167, 
a[20][28] = 0.836735, 
a[20][29] = 0.82, 
a[20][30] = 0.803922, 
a[20][31] = 0.788462, 
a[20][32] = 0.773585, 
a[20][33] = 0.759259, 
a[20][34] = 0.745455, 
a[20][35] = 0.732143, 
a[20][36] = 0.719298, 
a[20][37] = 0.706897, 
a[20][38] = 0.694915, 
a[20][39] = 0.683333, 
a[20][40] = 0.672131, 
a[20][41] = 0.66129, 
a[20][42] = 0.650794, 
a[20][43] = 0.640625, 
a[20][44] = 0.630769, 
a[20][45] = 0.621212, 
a[20][46] = 0.61194, 
a[20][47] = 0.602941, 
a[20][48] = 0.594203, 
a[20][49] = 0.585714, 

a[24][0] = 0.04, 
a[24][1] = 0.0184615, 
a[24][2] = 0.00985755, 
a[24][3] = 0.00642274, 
a[24][4] = 0.00459099, 
a[24][5] = 0.00346626, 
a[24][6] = 0.0027147, 
a[24][7] = 0.00218316, 
a[24][8] = 0.0017915, 
a[24][9] = 0.00149383, 
a[24][10] = 0.00126199, 
a[24][11] = 0.00107782, 
a[24][12] = 0.000929116, 
a[24][13] = 0.00080737, 
a[24][14] = 0.000706513, 
a[24][15] = 0.000622099, 
a[24][16] = 0.000550808, 
a[24][17] = 0.000490119, 
a[24][18] = 0.000438085, 
a[24][19] = 0.000393185, 
a[24][20] = 0.000354214, 
a[24][21] = 0.000320212, 
a[24][22] = 0.000290399, 
a[24][23] = 0.000264144, 
a[24][24] = 0.0204082, 
a[24][25] = 0.98, 
a[24][26] = 0.960784, 
a[24][27] = 0.942308, 
a[24][28] = 0.924528, 
a[24][29] = 0.907407, 
a[24][30] = 0.890909, 
a[24][31] = 0.875, 
a[24][32] = 0.859649, 
a[24][33] = 0.844828, 
a[24][34] = 0.830508, 
a[24][35] = 0.816667, 
a[24][36] = 0.803279, 
a[24][37] = 0.790323, 
a[24][38] = 0.777778, 
a[24][39] = 0.765625, 
a[24][40] = 0.753846, 
a[24][41] = 0.742424, 
a[24][42] = 0.731343, 
a[24][43] = 0.720588, 
a[24][44] = 0.710145, 
a[24][45] = 0.7, 
a[24][46] = 0.690141, 
a[24][47] = 0.680556, 
a[24][48] = 0.671233, 
a[24][49] = 0.662162, 

a[28][0] = 0.0344828, 
a[28][1] = 0.016092, 
a[28][2] = 0.00869485, 
a[28][3] = 0.00572843, 
a[28][4] = 0.00413752, 
a[28][5] = 0.00315459, 
a[28][6] = 0.00249351, 
a[28][7] = 0.00202285, 
a[28][8] = 0.00167373, 
a[28][9] = 0.00140662, 
a[28][10] = 0.00119722, 
a[28][11] = 0.0010298, 
a[28][12] = 0.000893763, 
a[28][13] = 0.000781703, 
a[28][14] = 0.000688311, 
a[28][15] = 0.000609687, 
a[28][16] = 0.000542908, 
a[28][17] = 0.000485744, 
a[28][18] = 0.00043647, 
a[28][19] = 0.000393728, 
a[28][20] = 0.000356443, 
a[28][21] = 0.000323751, 
a[28][22] = 0.000294949, 
a[28][23] = 0.000269467, 
a[28][24] = 0.00024683, 
a[28][25] = 0.000226647, 
a[28][26] = 0.000208589, 
a[28][27] = 0.000192383, 
a[28][28] = 0.0175439, 
a[28][29] = 0.982759, 
a[28][30] = 0.966102, 
a[28][31] = 0.95, 
a[28][32] = 0.934426, 
a[28][33] = 0.919355, 
a[28][34] = 0.904762, 
a[28][35] = 0.890625, 
a[28][36] = 0.876923, 
a[28][37] = 0.863636, 
a[28][38] = 0.850746, 
a[28][39] = 0.838235, 
a[28][40] = 0.826087, 
a[28][41] = 0.814286, 
a[28][42] = 0.802817, 
a[28][43] = 0.791667, 
a[28][44] = 0.780822, 
a[28][45] = 0.77027, 
a[28][46] = 0.76, 
a[28][47] = 0.75, 
a[28][48] = 0.74026, 
a[28][49] = 0.730769, 

a[32][0] = 0.030303, 
a[32][1] = 0.0142602, 
a[32][2] = 0.00777523, 
a[32][3] = 0.00516651, 
a[32][4] = 0.00376186, 
a[32][5] = 0.00289016, 
a[32][6] = 0.0023011, 
a[32][7] = 0.00187966, 
a[32][8] = 0.0015655, 
a[32][9] = 0.00132393, 
a[32][10] = 0.00113361, 
a[32][11] = 0.000980692, 
a[32][12] = 0.000855829, 
a[32][13] = 0.00075248, 
a[32][14] = 0.000665941, 
a[32][15] = 0.000592751, 
a[32][16] = 0.000530306, 
a[32][17] = 0.000476616, 
a[32][18] = 0.000430136, 
a[32][19] = 0.000389649, 
a[32][20] = 0.000354186, 
a[32][21] = 0.000322967, 
a[32][22] = 0.000295356, 
a[32][23] = 0.000270833, 
a[32][24] = 0.000248968, 
a[32][25] = 0.000229403, 
a[32][26] = 0.000211837, 
a[32][27] = 0.000196016, 
a[32][28] = 0.000181726, 
a[32][29] = 0.000168784, 
a[32][30] = 0.000157032, 
a[32][31] = 0.000146335, 
a[32][32] = 0.0153846, 
a[32][33] = 0.984848, 
a[32][34] = 0.970149, 
a[32][35] = 0.955882, 
a[32][36] = 0.942029, 
a[32][37] = 0.928571, 
a[32][38] = 0.915493, 
a[32][39] = 0.902778, 
