Complited in 3.376581
a[10][85] = 12483.6, 
a[10][86] = 12524.2, 
a[10][87] = 12562.4, 
a[10][88] = 12598.2, 
a[10][89] = 12631.6, 
a[10][90] = 12662.9, 
a[10][91] = 12692, 
a[10][92] = 12719, 
a[10][93] = 12744.1, 
a[10][94] = 12767.2, 
a[10][95] = 12788.4, 
a[10][96] = 12807.8, 
a[10][97] = 12825.5, 
a[10][98] = 12841.6, 
a[10][99] = 12856, 

a[18][0] = 0.0526316, 
a[18][1] = 0.0236842, 
a[18][2] = 0.00639098, 
a[18][3] = 0.0013944, 
a[18][4] = 0.000259825, 
a[18][5] = 4.21013e-05, 
a[18][6] = 5.97073e-06, 
a[18][7] = 7.41925e-07, 
a[18][8] = 8.06043e-08, 
a[18][9] = 7.6205e-09, 
a[18][10] = 6.23149e-10, 
a[18][11] = 4.48915e-11, 
a[18][12] = 4.39219e-12, 
a[18][13] = 1.36511e-13, 
a[18][14] = 1.68308e-12, 
a[18][15] = 4.51901e-15, 
a[18][16] = 6.99277e-14, 
a[0][26] = 0.037037, 
a[0][27] = 0.0357143, 
a[0][28] = 0.0344828, 
a[0][29] = 0.0333333, 
a[0][30] = 0.0322581, 
a[0][31] = 0.03125, 
a[0][32] = 0.030303, 
a[0][33] = 0.0294118, 
a[0][34] = 0.0285714, 
a[0][35] = 0.0277778, 
a[0][36] = 0.027027, 
a[0][37] = 0.0263158, 
a[0][38] = 0.025641, 
a[0][39] = 0.025, 
a[0][40] = 0.0243902, 
a[0][41] = 0.0238095, 
a[0][42] = 0.0232558, 
a[0][43] = 0.0227273, 
a[0][44] = 0.0222222, 
a[0][45] = 0.0217391, 
a[0][46] = 0.0212766, 
a[0][47] = 0.0208333, 
a[0][48] = 0.0204082, 
a[0][49] = 0.02, 
a[0][50] = 0.0196078, 
a[0][51] = 0.0192308, 
a[0][52] = 0.0188679, 
a[0][53] = 0.0185185, 
a[0][54] = 0.0181818, 
a[0][55] = 0.0178571, 
a[0][56] = 0.0175439, 
a[0][57] = 0.0172414, 
a[0][58] = 0.0169492, 
a[0][59] = 0.0166667, 
a[0][60] = 0.0163934, 
a[0][61] = 0.016129, 
a[0][62] = 0.015873, 
a[0][63] = 0.015625, 
a[0][64] = 0.0153846, 
a[0][65] = 0.0151515, 
a[0][66] = 0.0149254, 
a[0][67] = 0.0147059, 
a[0][68] = 0.0144928, 
a[0][69] = 0.0142857, 
a[0][70] = 0.0140845, 
a[0][71] = 0.0138889, 
a[0][72] = 0.0136986, 
a[0][73] = 0.0135135, 
a[0][74] = 0.0133333, 
a[0][75] = 0.0131579, 
a[0][76] = 0.012987, 
a[0][77] = 0.0128205, 
a[0][78] = 0.0126582, 
a[0][79] = 0.0125, 
a[0][80] = 0.0123457, 
a[0][81] = 0.0121951, 
a[0][82] = 0.0120482, 
a[0][83] = 0.0119048, 
a[0][84] = 0.0117647, 
a[0][85] = 0.0116279, 
a[0][86] = 0.0114943, 
a[0][87] = 0.0113636, 
a[0][88] = 0.011236, 
a[0][89] = 0.0111111, 
a[0][90] = 0.010989, 
a[0][91] = 0.0108696, 
a[0][92] = 0.0107527, 
a[0][93] = 0.0106383, 
a[0][94] = 0.0105263, 
a[0][95] = 0.0104167, 
a[0][96] = 0.0103093, 
a[0][97] = 0.0102041, 
a[0][98] = 0.010101, 
a[0][99] = 0.01, 

a[8][0] = 0.111111, 
a[8][1] = 0.0444444, 
a[8][2] = 0.00942761, 
a[8][3] = 0.00141414, 
a[8][4] = 0.0001554, 
a[8][5] = 1.23333e-05, 
a[8][6] = 6.72728e-07, 
a[8][7] = 2.26399e-08, 
a[8][8] = 3.55137e-10, 
a[8][9] = 4.49999, 
a[8][10] = 11.8421, 
a[8][11] = 23.8815, 
a[8][12] = 40.9398, 
a[8][13] = 62.8983, 
a[8][14] = 89.3339, 
a[8][15] = 119.644, 
a[8][16] = 153.144, 
a[8][17] = 189.139, 
a[8][18] = 226.967, 
a[8][19] = 266.023, 
a[8][20] = 305.773, 
a[8][21] = 345.759, 
a[8][22] = 385.593, 
a[8][23] = 424.956, 
a[8][24] = 463.588, 
a[8][25] = 501.285, 
a[18][17] = -3.12344e-16, 
a[18][18] = 3.39661e-15, 
a[18][19] = 4.62447, 
a[18][20] = 13.6558, 
a[18][21] = 31.9985, 
a[18][22] = 64.558, 
a[18][23] = 117.181, 
a[18][24] = 196.399, 
a[18][25] = 309.001, 
a[18][26] = 462.001, 
a[18][27] = 662.399, 
a[18][28] = 916.813, 
a[18][29] = 1231.51, 
a[18][30] = 1612.01, 
a[18][31] = 2063.25, 
a[8][26] = 537.886, 
a[8][27] = 573.274, 
a[8][28] = 607.36, 
a[8][29] = 640.088, 
a[8][30] = 671.421, 
a[8][31] = 701.342, 
a[8][32] = 729.852, 
a[8][33] = 756.961, 
a[8][34] = 782.69, 
a[8][35] = 807.066, 
a[8][36] = 830.125, 
a[8][37] = 851.905, 
a[8][38] = 872.448, 
a[8][39] = 891.796, 
a[8][40] = 909.996, 
a[8][41] = 927.093, 
a[8][42] = 943.133, 
a[8][43] = 958.161, 
a[8][44] = 972.222, 
a[8][45] = 985.36, 
a[8][46] = 997.618, 
a[8][47] = 1009.04, 
a[8][48] = 1019.66, 
a[8][49] = 1029.52, 
a[8][50] = 1038.66, 
a[8][51] = 1047.12, 
a[8][52] = 1054.92, 
a[8][53] = 1062.1, 
a[8][54] = 1068.7, 
a[8][55] = 1074.74, 
a[8][56] = 1080.25, 
a[8][57] = 1085.26, 
a[8][58] = 1089.8, 
a[8][59] = 1093.88, 
a[8][60] = 1097.54, 
a[8][61] = 1100.79, 
a[8][62] = 1103.67, 
a[8][63] = 1106.17, 
a[8][64] = 1108.34, 
a[8][65] = 1110.18, 
a[8][66] = 1111.71, 
a[8][67] = 1112.95, 
a[8][68] = 1113.91, 
a[8][69] = 1114.61, 
a[8][70] = 1115.07, 
a[8][71] = 1115.29, 
a[8][72] = 1115.29, 
a[8][73] = 1115.08, 
a[8][74] = 1114.67, 
a[8][75] = 1114.08, 
a[8][76] = 1113.31, 
a[8][77] = 1112.37, 
a[8][78] = 1111.28, 
a[8][79] = 1110.03, 
a[8][80] = 1108.64, 
a[8][81] = 1107.13, 
a[8][82] = 1105.48, 
a[8][83] = 1103.72, 
a[8][84] = 1101.85, 
a[8][85] = 1099.87, 
a[8][86] = 1097.79, 
a[8][87] = 1095.62, 
a[8][88] = 1093.36, 
a[8][89] = 1091.02, 
