Complited in 0.996132
a[16][6] = 0.000205321, 
a[16][7] = 1.46652e-05, 
a[16][8] = 2.80976e-06, 
a[16][9] = 4.80413e-07, 
a[16][10] = 3.41102e-08, 
a[16][11] = 1.22276e-09, 
a[16][12] = 6.10757e-11, 
a[16][13] = 1.33496e-12, 
a[16][14] = 2.72705e-14, 
a[16][15] = 1.56799e-14, 
a[16][16] = 9.60649e-16, 
a[16][17] = -0.176868, 
a[16][18] = -0.351254, 
a[16][19] = 0.0101138, 
a[16][20] = -0.0757758, 
a[16][21] = 0.0476411, 
a[16][22] = 0.109246, 
a[16][23] = 0.175215, 
a[16][24] = 0.619866, 
a[16][25] = 0.0835646, 
a[16][26] = 0.239517, 
a[16][27] = 0.488128, 
a[16][28] = -1.24355, 
a[16][29] = 0.0343794, 
a[16][30] = -0.121691, 
a[16][31] = -0.0610197, 
a[16][32] = -0.31911, 
a[16][33] = 0.0548415, 
a[16][34] = -0.592478, 
a[16][35] = -0.209857, 
a[16][36] = -0.337385, 
a[16][37] = 0.0191959, 
a[16][38] = -0.377437, 
a[16][39] = 0.0524782, 
a[16][40] = 0.442255, 
a[16][41] = 0.46339, 
a[16][42] = 0.776411, 
a[16][43] = 0.838015, 
a[16][44] = 3.63784, 
a[16][45] = 0.779046, 
a[16][46] = 0.84724, 
a[16][47] = 0.50748, 
a[16][48] = 0.650309, 
a[16][49] = -0.551971, 

a[20][0] = 0.0454545, 
a[20][1] = 0.0189394, 
a[20][2] = 0.0514069, 
a[20][3] = 0.00842382, 
a[20][4] = 0.00239418, 
a[20][5] = 0.00112653, 
a[20][6] = 0.000317494, 
a[20][7] = 2.99339e-05, 
a[20][8] = 6.95862e-06, 
a[20][9] = 1.61057e-06, 
a[20][10] = 1.55738e-07, 
a[20][11] = 8.54516e-09, 
a[20][12] = 6.58573e-10, 
a[20][13] = 2.58185e-11, 
a[20][14] = 1.02986e-12, 
a[20][15] = 1.2534e-12, 
a[20][16] = 1.6665e-13, 
a[20][17] = 5.3953e-14, 
a[20][18] = 5.68686e-14, 
a[20][19] = 2.61702e-15, 
a[20][20] = 1.85796e-16, 
a[20][21] = 0.136328, 
a[20][22] = -0.930322, 
a[20][23] = -0.33474, 
a[20][24] = 0.00023447, 
a[20][25] = 0.109931, 
a[20][26] = -0.212922, 
a[20][27] = -0.212037, 
a[20][28] = -1.41563, 
a[20][29] = 0.0918026, 
a[20][30] = -0.393487, 
a[20][31] = -0.331393, 
a[20][32] = -0.213494, 
a[20][33] = -0.0195173, 
a[20][34] = -0.307219, 
a[20][35] = -0.425071, 
a[20][36] = 0.2067, 
a[20][37] = -0.29086, 
a[20][38] = -0.0418036, 
a[20][39] = -0.33922, 
a[20][40] = -0.481214, 
a[20][41] = -0.105087, 
a[20][42] = 0.339013, 
a[20][43] = 0.364123, 
a[20][44] = -0.41187, 
a[20][45] = 0.622989, 
a[20][46] = 0.301352, 
a[20][47] = 0.028447, 
a[20][48] = 0.0791826, 
a[20][49] = -0.733715, 

a[24][0] = 0.0384615, 
a[24][1] = 0.0164835, 
a[24][2] = 0.0454945, 
a[24][3] = 0.00815252, 
a[24][4] = 0.00268053, 
a[24][5] = 0.00137316, 
a[24][6] = 0.000417579, 
a[24][7] = 4.78825e-05, 
a[24][8] = 1.25483e-05, 
a[24][9] = 3.52818e-06, 
a[24][10] = 4.10494e-07, 
a[24][11] = 2.91529e-08, 
a[24][12] = 2.83982e-09, 
a[24][13] = 1.51062e-10, 
a[24][14] = 8.45837e-12, 
a[24][15] = 1.30096e-11, 
a[24][16] = 1.93677e-12, 
a[24][17] = 1.61278e-12, 
a[24][18] = 2.0494e-12, 
a[24][19] = 1.41887e-13, 
a[24][20] = 6.11133e-15, 
a[24][21] = 1.08068e-14, 
a[24][22] = 1.53591e-15, 
